"participant","trial_num","consistency","matching","key_resp_3.corr","key_resp_3.rt","stage"
"fp13","153","c","match",1,0.3506179,"baseline"
"fp13","154","i","mismatch",1,0.3175179,"baseline"
"fp13","155","c","mismatch",1,0.3806437,"baseline"
"fp13","156","filler","mismatch",1,0.4268392,"baseline"
"fp13","157","c","match",0,0.9784411,"baseline"
"fp13","158","c","match",1,0.7150621,"baseline"
"fp13","159","i","mismatch",1,0.7019174,"baseline"
"fp13","160","i","mismatch",1,0.3233775,"baseline"
"fp13","161","i","match",1,0.3361761,"baseline"
"fp13","162","c","match",1,0.3928049,"baseline"
"fp13","163","i","match",1,0.4411979,"baseline"
"fp13","164","i","match",1,0.4854419,"baseline"
"fp13","165","filler","mismatch",1,0.4888709,"baseline"
"fp13","166","c","match",1,0.4900711,"baseline"
"fp13","167","i","match",1,0.4118012,"baseline"
"fp13","168","i","mismatch",1,0.366066,"baseline"
"fp13","169","filler","match",1,0.3835322,"baseline"
"fp13","170","i","match",1,0.3047186,"baseline"
"fp13","171","c","match",1,0.3256806,"baseline"
"fp13","172","c","match",1,0.3821498,"baseline"
"fp13","173","i","match",1,0.3398799,"baseline"
"fp13","174","i","mismatch",1,0.3821474,"baseline"
"fp13","175","c","match",1,0.4370095,"baseline"
"fp13","176","c","mismatch",1,0.6576875,"baseline"
"fp13","177","i","mismatch",1,0.3804194,"baseline"
"fp13","178","i","mismatch",1,0.3267243,"baseline"
"fp13","179","i","match",1,0.3900811,"baseline"
"fp13","180","c","mismatch",1,0.4120266,"baseline"
"fp13","181","c","mismatch",1,0.3518713,"baseline"
"fp13","182","filler","match",1,0.2874151,"baseline"
"fp13","183","i","match",1,0.3417309,"baseline"
"fp13","184","i","mismatch",1,0.3190932,"baseline"
"fp13","185","i","mismatch",1,0.3042365,"baseline"
"fp13","186","c","mismatch",1,0.3744567,"baseline"
"fp13","187","c","mismatch",1,0.3513616,"baseline"
"fp13","188","i","match",1,0.294991,"baseline"
"fp13","189","c","mismatch",1,0.3441131,"baseline"
"fp13","190","c","match",1,0.3280145,"baseline"
"fp13","191","i","mismatch",1,0.2714256,"baseline"
"fp13","192","filler","mismatch",1,0.4048441,"baseline"
"fp13","193","c","match",1,0.3447194,"baseline"
"fp13","194","c","mismatch",1,0.3681049,"baseline"
"fp13","195","i","match",1,0.4302494,"baseline"
"fp13","196","i","mismatch",1,0.552852,"baseline"
"fp13","197","c","match",1,0.3978924,"baseline"
"fp13","198","c","mismatch",1,0.3418502,"baseline"
"fp13","199","i","match",1,0.4456149,"baseline"
"fp13","200","i","mismatch",1,0.307819,"baseline"
"fp13","201","c","mismatch",1,0.4158451,"baseline"
"fp13","202","c","mismatch",1,0.3448006,"baseline"
"fp13","203","c","mismatch",1,0.3767501,"baseline"
"fp13","204","i","mismatch",1,0.4088985,"baseline"
"fp13","205","i","match",1,0.386783,"baseline"
"fp13","206","c","match",1,0.2863917,"baseline"
"fp13","207","c","mismatch",1,0.2993217,"baseline"
"fp13","208","c","match",1,0.3097968,"baseline"
"fp14","1","i","match",1,0.5416633,"adapt"
"fp14","2","i","match",1,0.5034398,"adapt"
"fp14","3","c","match",1,0.7455944,"adapt"
"fp14","4","c","match",1,0.6133321,"adapt"
"fp14","5","i","mismatch",1,0.7143144,"adapt"
"fp14","6","i","match",1,0.3972558,"adapt"
"fp14","7","c","match",1,0.5023764,"adapt"
"fp14","8","filler","mismatch",1,0.3792895,"adapt"
"fp14","9","c","mismatch",1,0.4569791,"adapt"
"fp14","10","c","match",1,0.3993575,"adapt"
"fp14","11","i","match",1,0.6262737,"adapt"
"fp14","12","c","mismatch",1,0.3791325,"adapt"
"fp14","13","i","mismatch",1,0.6493637,"adapt"
"fp14","14","c","match",1,0.7885962,"adapt"
"fp14","15","i","mismatch",1,0.4027477,"adapt"
"fp14","16","c","match",1,0.4463362,"adapt"
